,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
132,5.0,Tyreek Hill,22.0,2016,7.9,13.0,75.3,80.4,49.0,61.0,260.0,109.7,81.0,593.0,278.0,4.6,9.7,2.28,7.320987654320987,2016,6
133,5.0,Rashard Higgins,21.0,2016,11.1,1.0,50.0,61.5,19.0,6.0,109.0,30.9,12.0,77.0,32.0,5.3,12.8,0.71,6.416666666666667,2016,0
134,6.0,Cody Core,22.0,2016,7.5,1.0,65.4,60.7,50.0,17.0,135.0,88.6,26.0,200.0,118.0,6.9,11.8,1.48,7.6923076923076925,2016,0
135,6.0,Mike Thomas,22.0,2016,13.6,1.0,33.3,51.6,16.0,3.0,55.0,47.0,9.0,37.0,13.0,4.3,12.3,0.67,4.111111111111111,2016,0
136,6.0,Mike Thomas,22.0,2016,13.6,1.0,33.3,51.6,16.0,3.0,55.0,47.0,9.0,37.0,13.0,4.3,12.3,0.67,4.111111111111111,2009,0
137,6.0,Aaron Burbridge,22.0,2016,9.4,1.0,50.0,55.5,24.0,7.0,129.0,69.9,14.0,88.0,42.0,6.0,12.6,0.68,6.285714285714286,2016,0
138,7.0,Charone Peake,23.0,2016,9.5,4.0,57.6,59.0,27.0,19.0,227.0,48.3,33.0,186.0,73.0,3.8,9.8,0.82,5.636363636363637,2016,0
139,1.0,Amari Cooper,21.0,2015,10.6,14.0,58.5,71.2,68.0,72.0,581.0,93.2,123.0,1070.0,383.0,5.3,14.9,1.84,8.699186991869919,2015,7
140,1.0,DeVante Parker,22.0,2015,15.9,7.0,59.1,72.9,49.0,26.0,294.0,111.4,44.0,494.0,102.0,3.9,19.0,1.68,11.227272727272727,2015,1
141,1.0,Nelson Agholor,22.0,2015,11.5,1.0,53.5,48.7,53.0,23.0,404.0,81.8,43.0,283.0,94.0,4.1,12.3,0.7,6.5813953488372094,2015,0
142,1.0,Phillip Dorsett,22.0,2015,13.3,0.0,50.0,60.5,35.0,18.0,148.0,67.5,36.0,225.0,61.0,3.4,12.5,1.52,6.25,2015,0
143,2.0,Devin Smith,23.0,2015,21.0,0.0,34.6,52.3,22.0,9.0,232.0,22.6,26.0,115.0,24.0,2.7,12.8,0.5,4.423076923076923,2015,0
